id,name_en,name_fr,type_1,type_2,generation,evolution_level,evolves_from,is_baby,is_legendary,is_mythical,height,weight,base_experience,base_happiness,capture_rate,gender_rate,growth_rate,hatch_counter,hp,hp_effort,attack,attack_effort,defense,defense_effort,special-attack,special-attack_effort,special-defense,special-defense_effort,speed,speed_effort
1,bulbasaur,Bulbizarre,grass,poison,1,0,,False,False,False,7,69,64,70,45,1,medium-slow,20,45,0,49,0,49,0,65,1,65,0,45,0
10,caterpie,Chenipan,bug,,1,0,,False,False,False,3,29,39,70,255,4,medium,15,45,1,30,0,35,0,20,0,20,0,45,0
100,voltorb,Voltorbe,electric,,1,0,,False,False,False,5,104,66,70,190,-1,medium,20,40,0,30,0,50,0,55,0,55,0,100,1
1000,gholdengo,Gromago,steel,ghost,9,1,gimmighoul,False,False,False,12,300,275,50,45,-1,slow,50,87,0,60,0,95,0,133,2,91,0,84,0
1001,wo-chien,Chongjian,dark,grass,9,0,,False,True,False,15,742,285,0,6,-1,slow,50,85,0,85,0,100,0,95,0,135,3,70,0
1002,chien-pao,Baojian,dark,ice,9,0,,False,True,False,19,1522,285,0,6,-1,slow,50,80,0,120,0,80,0,90,0,65,0,135,3
1003,ting-lu,Dinglu,dark,ground,9,0,,False,True,False,27,6997,285,0,6,-1,slow,50,155,0,110,0,125,3,55,0,80,0,45,0
1004,chi-yu,Yuyu,dark,fire,9,0,,False,True,False,4,49,285,0,6,-1,slow,50,55,0,80,0,80,0,135,3,120,0,100,0
1005,roaring-moon,Rugit-Lune,dragon,dark,9,0,,False,False,False,20,3800,295,0,10,-1,slow,50,105,0,139,3,71,0,55,0,101,0,119,0
1006,iron-valiant,Garde-de-Fer,fairy,fighting,9,0,,False,False,False,14,350,295,0,10,-1,slow,50,74,0,130,3,90,0,120,0,60,0,116,0
1007,koraidon,Koraidon,fighting,dragon,9,0,,False,True,False,25,3030,335,0,3,-1,slow,50,100,0,135,3,115,0,85,0,100,0,135,0
1008,miraidon,Miraidon,electric,dragon,9,0,,False,True,False,35,2400,335,0,3,-1,slow,50,100,0,85,0,100,0,135,3,115,0,135,0
1009,walking-wake,Serpente-Eau,water,dragon,9,0,,False,False,False,35,2800,295,0,5,-1,slow,50,99,0,83,0,91,0,125,3,83,0,109,0
101,electrode,Électrode,electric,,1,1,voltorb,False,False,False,12,666,172,70,60,-1,medium,20,60,0,50,0,70,0,80,0,80,0,150,2
1010,iron-leaves,Vert-de-Fer,grass,psychic,9,0,,False,False,False,15,1250,295,0,5,-1,slow,50,90,0,130,3,88,0,70,0,108,0,104,0
1011,dipplin,Sirapfel,grass,dragon,9,1,applin,False,False,False,4,97,170,50,45,-1,slow,20,80,0,80,0,110,2,95,0,80,0,40,0
1012,poltchageist,Mortcha,grass,ghost,9,0,,False,False,False,1,11,62,50,120,-1,slow,50,40,0,45,0,45,0,74,1,54,0,50,0
1013,sinistcha,Fatalitcha,grass,ghost,9,1,poltchageist,False,False,False,2,22,178,50,60,-1,slow,50,71,0,60,0,106,0,121,2,80,0,70,0
1014,okidogi,Boninu,poison,fighting,9,0,,False,True,False,18,922,278,0,3,-1,slow,50,88,0,128,3,115,0,58,0,86,0,80,0
1015,munkidori,Benesaru,poison,psychic,9,0,,False,True,False,10,122,278,0,3,-1,slow,50,88,0,75,0,66,0,130,3,90,0,106,0
1016,fezandipiti,Beatori,poison,fairy,9,0,,False,True,False,14,301,278,0,3,-1,slow,50,88,0,91,0,82,0,70,0,125,3,99,0
1017,ogerpon,Ogerpon,grass,,9,0,,False,True,False,12,398,275,50,5,-1,slow,50,80,0,120,3,84,0,60,0,96,0,110,0
1018,archaludon,Briduradon,steel,dragon,9,1,duraludon,False,False,False,20,600,300,50,10,4,medium,30,90,0,105,0,130,3,125,0,65,0,85,0
1019,hydrapple,Hydrapfel,grass,dragon,9,1,dipplin,False,False,False,18,930,270,50,10,4,slow-then-very-fast,20,106,0,80,0,110,0,120,3,80,0,44,0
102,exeggcute,Noeunoeuf,grass,psychic,1,0,,False,False,False,4,25,65,70,90,4,slow,20,60,0,40,0,80,1,60,0,45,0,40,0
1020,gouging-fire,Keilflamme,fire,dragon,9,0,,False,False,False,35,5900,295,0,10,-1,slow,50,105,0,115,0,121,3,65,0,93,0,91,0
1021,raging-bolt,Furienblitz,electric,dragon,9,0,,False,False,False,52,4800,295,0,10,-1,slow,50,125,0,73,0,91,0,137,3,89,0,75,0
1022,iron-boulder,Eisenfels,rock,psychic,9,0,,False,False,False,15,1625,295,0,10,-1,slow,50,90,0,120,0,80,0,68,0,108,0,124,3
1023,iron-crown,Eisenhaupt,steel,psychic,9,0,,False,False,False,16,1560,295,0,10,-1,slow,50,90,0,72,0,100,0,122,3,108,0,98,0
1024,terapagos,Terapagos,normal,,9,0,,False,True,False,2,65,90,50,255,-1,slow,5,90,0,65,0,85,1,65,0,85,0,60,0
1025,pecharunt,Infamomo,poison,ghost,9,0,,False,False,True,3,3,300,0,3,-1,slow,20,88,0,88,0,160,3,88,0,88,0,88,0
103,exeggutor,Noadkoko,grass,psychic,1,1,exeggcute,False,False,False,20,1200,186,70,45,4,slow,20,95,0,95,0,85,0,125,2,75,0,55,0
